campaign_id,channel,month,spend_amount,impressions,clicks,conversions,revenue_generated
6332067,PPC,2024-05-01,23360.39,277294,30248,1944,39263.15
1494645,AFFILIATE,2024-06-01,37404.47,387642,38521,1357,110913.24
9984714,EMAIL,2024-04-01,39844.13,660698,4015,1470,76080.6
1501730,EMAIL,2024-09-01,8610.28,335987,32309,104,23100.31
6541489,PPC,2023-08-01,1709.86,174623,17365,615,4106.9
8574580,EMAIL,2024-10-01,14887.36,177097,38553,800,13069.78
768074,PPC,2024-09-01,21113.07,861845,7033,684,39371.33
4310548,PPC,2025-04-01,32510.41,931509,49345,298,38121.26
5034505,AFFILIATE,2025-03-01,41782.05,982522,35568,142,85522.01
2489090,SOCIAL,2023-10-01,24070.56,675474,17071,1513,54520.2
8452593,AFFILIATE,2024-04-01,48880.82,861518,37921,1700,108159.19
802088,EMAIL,2025-04-01,14938.26,721571,31368,1746,50641.03
2410762,PPC,2023-11-01,2222.95,75513,41402,1312,3416.32
1119261,AFFILIATE,2024-10-01,43569.36,792480,14489,1171,93868.43
7906478,EMAIL,2024-04-01,1072.07,126270,6652,1332,1378.55
1900915,PPC,2025-02-01,12154.06,77753,16141,1290,26348.43
9931307,AFFILIATE,2023-10-01,28364.01,451659,4714,1078,56345.61
1267230,EMAIL,2024-09-01,43593.89,455325,47139,532,87056.75
5564599,EMAIL,2024-10-01,8656.38,291515,28883,1334,8262.51
8573513,SOCIAL,2023-08-01,2516.55,572157,13506,1690,3579.57
1321901,SOCIAL,2024-08-01,25662.3,991595,38185,670,83784.76
6268226,PPC,2024-06-01,46280.21,39163,3087,646,102361.93
6622914,EMAIL,2024-08-01,38935.08,586678,39624,1320,104242.44
6292705,PPC,2023-10-01,44376.43,439249,13673,858,88993.79
119779,PPC,2025-01-01,3179.08,593466,8037,1085,3219.18
2087890,EMAIL,2024-11-01,18521.3,663498,3570,1789,62139.16
5314668,SOCIAL,2024-12-01,5447.2,579260,48836,569,13609.47
601796,SOCIAL,2024-11-01,5020.58,164705,794,113,16971.23
4844692,SOCIAL,2024-08-01,28682.66,245782,14000,580,56216.87
8974401,EMAIL,2024-02-01,43375.36,345281,24932,1615,120391.47
2272593,AFFILIATE,2025-07-01,16073.23,201155,24356,856,36069.19
7516505,EMAIL,2023-09-01,23228.59,307593,36835,1335,71582.6
1104447,EMAIL,2023-10-01,43220.97,88174,7024,1378,38359.49
4016036,PPC,2025-03-01,38389.2,977718,23253,421,31852.55
4711118,SOCIAL,2024-04-01,44294.75,305066,32061,481,96613.46
9723655,AFFILIATE,2024-07-01,8520.67,449615,43271,1694,15732.48
4560890,EMAIL,2024-06-01,17439.87,140949,43330,420,42372.48
6134925,SOCIAL,2025-06-01,23066.76,944864,26834,1596,31859.19
8707874,AFFILIATE,2025-06-01,23803.1,157752,26118,1863,70397.92
8878284,PPC,2025-04-01,23748.78,196479,10296,309,67539.18
8157240,PPC,2024-05-01,24265.2,354282,21157,987,68913.11
2427448,SOCIAL,2023-12-01,42591.08,656945,9527,613,146930.32
6026260,AFFILIATE,2025-08-01,40572.8,48024,42269,95,136335.35
5068926,SOCIAL,2024-04-01,4112.6,441217,47794,1374,6846.47
5145913,PPC,2023-10-01,10011.28,111037,3859,1927,25835.86
5871082,AFFILIATE,2025-02-01,7478.24,230633,28648,733,7111.96
8350012,SOCIAL,2025-02-01,27958.0,898564,40183,1264,36529.81
2091372,SOCIAL,2025-02-01,28386.51,115821,33441,1601,42157.04
7065299,EMAIL,2024-08-01,29564.71,534340,9774,396,49112.19
2060808,EMAIL,2025-02-01,27601.06,892872,28021,541,22228.02
8682078,AFFILIATE,2024-10-01,14502.96,141195,7579,89,40867.34
7297835,AFFILIATE,2025-02-01,21174.0,360097,27049,519,36752.94
6501381,SOCIAL,2024-12-01,45739.51,280346,33457,1629,102659.59
541941,AFFILIATE,2024-11-01,18381.67,752618,45676,1668,33684.27
103002,EMAIL,2024-08-01,49977.72,164780,42662,1694,77839.87
4645517,AFFILIATE,2024-01-01,7819.36,379524,35295,204,19475.26
1683399,PPC,2025-07-01,49008.27,687722,27393,667,167555.68
21215,PPC,2024-03-01,35258.54,478174,42227,1288,64812.16
9590228,AFFILIATE,2024-10-01,39845.68,300732,16116,408,82649.21
2993954,EMAIL,2023-09-01,13174.05,472934,4185,491,19574.1
3202740,PPC,2024-07-01,3238.65,911249,38428,761,5984.58
7149803,SOCIAL,2024-09-01,38105.07,306980,42794,1870,130892.02
7569952,EMAIL,2023-08-01,37298.89,150510,6524,976,42246.36
3434933,EMAIL,2024-03-01,48367.86,956806,797,1333,123189.11
7888521,PPC,2024-09-01,16722.83,92310,17440,823,15225.69
1501447,PPC,2023-12-01,10468.09,921838,23740,1643,22401.37
298010,AFFILIATE,2025-04-01,5508.43,932747,10692,1357,5387.99
2521632,AFFILIATE,2025-05-01,13787.5,954685,36458,1673,33630.02
3665145,AFFILIATE,2024-09-01,1324.2,636060,39284,555,3760.71
5957857,PPC,2025-04-01,6073.03,721258,13798,1907,13735.76
9568068,PPC,2025-05-01,49837.2,210780,23097,361,67035.87
8085509,PPC,2024-05-01,11682.04,903191,9318,1382,27589.98
5251860,AFFILIATE,2024-04-01,21313.21,411238,18745,1512,69200.21
264138,SOCIAL,2024-08-01,28437.89,957661,17797,1087,45415.81
1414917,SOCIAL,2025-03-01,45053.83,356339,10202,812,53776.22
2884575,AFFILIATE,2025-01-01,5368.81,150860,37412,797,7642.98
1703059,PPC,2024-05-01,18892.59,424054,32124,973,29471.24
3380392,AFFILIATE,2023-09-01,33115.01,311896,13904,368,66693.61
8650355,PPC,2023-09-01,1985.42,318302,15057,190,3163.31
5092222,AFFILIATE,2024-09-01,40658.72,904565,47905,1767,52050.25
4780479,AFFILIATE,2024-03-01,6384.96,707061,12534,337,8078.39
2785266,SOCIAL,2024-12-01,49667.32,465695,42217,1505,125850.4
8569976,PPC,2025-02-01,1407.57,897196,6954,414,1509.01
7853267,EMAIL,2025-01-01,33198.78,199612,48025,77,77551.55
6065817,EMAIL,2024-03-01,28861.34,554193,39533,1999,47259.42
1744220,EMAIL,2023-12-01,49890.26,338405,2344,1411,110100.25
9499113,SOCIAL,2024-10-01,38763.74,570186,1901,1883,123547.04
9219470,AFFILIATE,2023-08-01,45146.57,498215,20876,1812,96670.24
794204,AFFILIATE,2025-01-01,19802.45,351269,39154,507,51241.4
7171042,AFFILIATE,2024-04-01,5816.4,327733,21066,1478,15412.67
8845933,SOCIAL,2023-09-01,45757.54,687976,6627,1024,118510.02
8230660,SOCIAL,2025-01-01,37779.2,461638,22576,1873,74125.64
7979516,AFFILIATE,2025-01-01,3938.22,833532,41570,1115,8579.19
2553561,EMAIL,2024-12-01,43692.62,953365,44210,304,144073.33
1942974,SOCIAL,2025-04-01,24892.85,165759,16421,878,73528.42
2070236,EMAIL,2023-11-01,14194.81,538181,5638,746,28685.42
2790162,PPC,2024-05-01,30083.32,544427,49862,1007,81982.61
8466827,PPC,2025-05-01,24820.95,217565,18317,1237,59456.71
1440902,PPC,2025-06-01,30871.57,547907,20913,685,32858.19
2566247,PPC,2024-03-01,7630.83,491031,22765,663,16340.67
2577067,EMAIL,2024-09-01,42034.07,227191,10710,466,52378.82
1328947,EMAIL,2024-06-01,1890.39,837990,30925,1137,2400.55
5791376,SOCIAL,2024-10-01,36891.29,795048,14291,976,51535.88
6535550,AFFILIATE,2025-04-01,22463.0,616062,14257,1400,43677.54
4277549,PPC,2024-11-01,12425.53,98061,11519,1709,16839.72
431573,AFFILIATE,2024-07-01,48164.36,347656,45505,846,165283.86
8875529,EMAIL,2024-12-01,3725.06,889515,9304,1726,8180.11
875280,AFFILIATE,2024-02-01,17525.44,286893,10466,175,17605.82
9323355,SOCIAL,2024-10-01,25848.01,502032,47856,1934,23507.34
4341484,AFFILIATE,2023-12-01,48723.23,338348,19298,426,91536.19
5296400,AFFILIATE,2025-05-01,18574.21,38866,31212,1874,62687.66
865577,EMAIL,2023-08-01,5923.28,609218,24093,1169,17153.97
3194471,EMAIL,2025-07-01,31583.23,153846,12046,1495,91138.84
1455768,AFFILIATE,2025-05-01,47343.21,211510,38519,962,94452.88
2998193,PPC,2023-09-01,45514.87,257925,28252,1780,43251.05
8114768,PPC,2025-02-01,26893.04,375674,42979,1524,40049.01
6783826,SOCIAL,2024-04-01,45467.78,655799,16122,891,47451.51
6786125,SOCIAL,2023-11-01,38670.15,276495,43644,1014,70260.52
4106914,PPC,2023-08-01,44152.09,608672,9703,1712,76132.48
1766613,EMAIL,2025-04-01,2116.72,703125,44925,1753,4239.18
2926414,AFFILIATE,2025-01-01,33110.79,347847,22664,1562,41505.93
7942381,EMAIL,2024-09-01,11494.58,816077,36893,710,13061.49
3648936,EMAIL,2025-01-01,15456.97,840455,23765,740,19873.1
1249696,PPC,2024-06-01,15142.94,33157,23019,1523,20591.55
7603160,AFFILIATE,2023-08-01,10878.03,646782,12483,1724,33135.61
1542085,PPC,2024-12-01,40440.56,548481,11280,546,93415.83
1888007,AFFILIATE,2025-03-01,44273.59,439522,41073,1315,41339.78
3397648,PPC,2024-01-01,39410.82,228947,26327,282,45962.93
1297442,PPC,2025-03-01,34794.79,477642,42323,1158,108541.55
9571502,SOCIAL,2025-04-01,33009.55,774529,28119,1870,51379.82
7783041,EMAIL,2025-07-01,8128.3,320626,27279,793,19940.2
2211492,PPC,2025-04-01,1142.57,520976,8498,1223,2668.12
5478589,EMAIL,2025-02-01,34130.48,950032,38939,1444,85218.26
7693729,PPC,2023-12-01,24581.01,738659,19917,1511,81680.24
4022351,EMAIL,2024-01-01,22896.66,353728,12364,1536,75314.37
3014328,AFFILIATE,2023-10-01,33787.9,651511,46274,615,71512.55
2536484,AFFILIATE,2025-04-01,3877.16,965842,8731,512,3785.02
2624373,SOCIAL,2025-05-01,7090.5,840504,34209,105,12357.45
3032115,AFFILIATE,2024-07-01,42242.42,941256,40392,427,88992.36
4814271,AFFILIATE,2024-11-01,32800.77,430720,1978,1038,70687.63
3180769,SOCIAL,2024-09-01,24616.15,637109,43754,571,29695.03
4863041,AFFILIATE,2025-04-01,7912.65,937659,8602,68,25952.58
5461028,SOCIAL,2025-01-01,13451.87,185003,32679,1627,40482.25
6824637,SOCIAL,2024-09-01,15541.37,795329,2469,52,46896.69
5281751,EMAIL,2024-09-01,43291.86,511976,40232,1748,124841.11
6242122,EMAIL,2024-09-01,45112.29,484106,49014,304,111976.38
9841921,SOCIAL,2025-07-01,21625.91,302155,19117,660,35458.65
9321981,AFFILIATE,2024-01-01,24448.78,818473,28082,391,48010.71
332996,PPC,2024-09-01,5314.52,701179,6695,810,13498.85
2093935,EMAIL,2024-06-01,14508.6,677724,9802,579,38601.54
